2022-04-02 08:35:04.265 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 08:35:06.863 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 08:36:06.153 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 08:36:08.627 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 08:37:31.960 [http-nio-8080-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/magicbazaar?useUnicode=true&characterEncoding=utf-8&serverTimeZone=UTC, version : 1.2.8, lastPacketReceivedIdleMillis : 293162
2022-04-02 08:38:48.767 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 08:38:51.639 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 08:44:11.230 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 08:44:13.657 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 08:50:33.477 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 08:50:36.360 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 09:03:37.416 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 09:03:40.018 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 09:06:22.169 [http-nio-8081-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/magicbazaar?useUnicode=true&characterEncoding=utf-8&serverTimeZone=UTC, version : 1.2.8, lastPacketReceivedIdleMillis : 155529
2022-04-02 09:06:22.170 [http-nio-8081-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/magicbazaar?useUnicode=true&characterEncoding=utf-8&serverTimeZone=UTC, version : 1.2.8, lastPacketReceivedIdleMillis : 155537
2022-04-02 09:07:27.091 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 09:07:29.606 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 09:11:00.456 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2022-04-02 09:11:04.036 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.a243.magicbazaar.dao.dto.Cart ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-04-02 09:13:21.084 [http-nio-8081-exec-10] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/magicbazaar?useUnicode=true&characterEncoding=utf-8&serverTimeZone=UTC, version : 1.2.8, lastPacketReceivedIdleMillis : 85646
2022-04-02 09:17:03.440 [main] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
